Gene	RefSeq_transcript	Reason
NLRP11	NM_001394894	Not_found_in_canonical_GTF_exon_records
NMNAT3	NM_001401600	Not_found_in_canonical_GTF_exon_records
NOPCHAP1	NM_152318	Not_found_in_canonical_GTF_exon_records
NOTCH2NLB	NM_001364008	Not_found_in_canonical_GTF_exon_records
NOTCH2NLC	NM_001364013	Not_found_in_canonical_GTF_exon_records
NOTCH2NLR	NM_001396072	Not_found_in_canonical_GTF_exon_records
NPIPA2	NM_001395485	Not_found_in_canonical_GTF_exon_records
NPIPA3	NM_001395487	Not_found_in_canonical_GTF_exon_records
NPIPA6	NM_001423836	Not_found_in_canonical_GTF_exon_records
NPIPA9	NM_001405004	Not_found_in_canonical_GTF_exon_records
NPIPB12	NM_001395931	Not_found_in_canonical_GTF_exon_records
NPIPB13	NM_001395859	Not_found_in_canonical_GTF_exon_records
NPIPB2	NM_001396485	Not_found_in_canonical_GTF_exon_records
NPIPB5	NM_001395849	Not_found_in_canonical_GTF_exon_records
NPIPB6	NM_001395275	Not_found_in_canonical_GTF_exon_records
NPIPB7	NM_001396030	Not_found_in_canonical_GTF_exon_records
NPY4R2	NM_001395253	Not_found_in_canonical_GTF_exon_records
NR2F1-AS1	NR_186187	Not_found_in_canonical_GTF_exon_records
NT5DC4	NM_001393655	Not_found_in_canonical_GTF_exon_records
NTMT2	NM_001136107	Not_found_in_canonical_GTF_exon_records
NUDT4B	NM_001355407	Not_found_in_canonical_GTF_exon_records
NXPE1	NM_001395504	Not_found_in_canonical_GTF_exon_records
OOSP1	NM_001395276	Not_found_in_canonical_GTF_exon_records
OOSP3	NM_001395255	Not_found_in_canonical_GTF_exon_records
OOSP4A	NM_001395277	Not_found_in_canonical_GTF_exon_records
OOSP4B	NM_001395278	Not_found_in_canonical_GTF_exon_records
OPN1MW3	NM_001330067	Not_found_in_canonical_GTF_exon_records
OR10J4	NM_001348286	Not_found_in_canonical_GTF_exon_records
OR10R2	NM_001395749	Not_found_in_canonical_GTF_exon_records
OR11A1	NM_001394828	Not_found_in_canonical_GTF_exon_records
OR11H7	NM_001348273	Not_found_in_canonical_GTF_exon_records
OR14L1	NM_001396106	Not_found_in_canonical_GTF_exon_records
OR1R1P	NM_001396056	Not_found_in_canonical_GTF_exon_records
OR2AT4	NM_001405852	Not_found_in_canonical_GTF_exon_records
OR2I1P	NM_001396058	Not_found_in_canonical_GTF_exon_records
OR2L13	NM_001395936	Not_found_in_canonical_GTF_exon_records
OR4C45	NM_001005513	Not_found_in_canonical_GTF_exon_records
OR4F3	NM_001408386	Not_found_in_canonical_GTF_exon_records
OR4M2B	NM_001395296	Not_found_in_canonical_GTF_exon_records
OR4N4C	NM_001365389	Not_found_in_canonical_GTF_exon_records
OR4P4	NM_001405919	Not_found_in_canonical_GTF_exon_records
OR4Q2	NM_001348271	Not_found_in_canonical_GTF_exon_records
OR4Q3	NM_001405963	Not_found_in_canonical_GTF_exon_records
OR51B5	NM_001395252	Not_found_in_canonical_GTF_exon_records
OR51C1P	NM_001396051	Not_found_in_canonical_GTF_exon_records
OR52E1	NM_001348221	Not_found_in_canonical_GTF_exon_records
OR52I2	NM_001405760	Not_found_in_canonical_GTF_exon_records
OR56A1	NM_001388488	Not_found_in_canonical_GTF_exon_records
OR56B2P	NM_001396057	Not_found_in_canonical_GTF_exon_records
OR5AL1	NM_001348230	Not_found_in_canonical_GTF_exon_records
OR5BS1P	NM_001396061	Not_found_in_canonical_GTF_exon_records
OR5D3P	NM_001396059	Not_found_in_canonical_GTF_exon_records
OR6C3	NM_001388498	Not_found_in_canonical_GTF_exon_records
OR8G1	NM_001002905	Not_found_in_canonical_GTF_exon_records
OR8S1	NM_001390849	Not_found_in_canonical_GTF_exon_records
OR8U8	NM_001013356	Not_found_in_canonical_GTF_exon_records
OR8U9	NM_001013357	Not_found_in_canonical_GTF_exon_records
OR9G9	NM_001013358	Not_found_in_canonical_GTF_exon_records
PABIR3	NM_001388447	Not_found_in_canonical_GTF_exon_records
PAK6	NM_001395430	Not_found_in_canonical_GTF_exon_records
PALS1	NM_022474	Not_found_in_canonical_GTF_exon_records
PALS2	NM_001303037	Not_found_in_canonical_GTF_exon_records
PBRM1	NM_001405607	Not_found_in_canonical_GTF_exon_records
PCDH11Y	NM_001395587	Not_found_in_canonical_GTF_exon_records
PDE4DIP	NM_001395426	Not_found_in_canonical_GTF_exon_records
PERM1	NM_001394713	Not_found_in_canonical_GTF_exon_records
PHAF1	NM_025187	Not_found_in_canonical_GTF_exon_records
PHB1	NM_002634	Not_found_in_canonical_GTF_exon_records
PHTF2	NM_001395272	Not_found_in_canonical_GTF_exon_records
PIERCE1	NM_001048265	Not_found_in_canonical_GTF_exon_records
PIERCE2	NM_001198784	Not_found_in_canonical_GTF_exon_records
PLA2G2A	NM_001395463	Not_found_in_canonical_GTF_exon_records
PLA2G4E	NM_001395548	Not_found_in_canonical_GTF_exon_records
PLCXD2	NM_001413064	Not_found_in_canonical_GTF_exon_records
PLEKHS1	NM_001395068	Not_found_in_canonical_GTF_exon_records
PLPPR2	NM_001393892	Not_found_in_canonical_GTF_exon_records
PLSCR2	NM_001395437	Not_found_in_canonical_GTF_exon_records
PMIS2	NM_001395412	Not_found_in_canonical_GTF_exon_records
PNLIPRP2	NM_005396	Not_found_in_canonical_GTF_exon_records
POLGARF	NM_001430120	Not_found_in_canonical_GTF_exon_records
POR	NM_001395413	Not_found_in_canonical_GTF_exon_records
POTEB3	NM_207355	Not_found_in_canonical_GTF_exon_records
POU2AF2	NM_198498	Not_found_in_canonical_GTF_exon_records
POU2AF3	NM_001271458	Not_found_in_canonical_GTF_exon_records
POU2F2	NM_001394376	Not_found_in_canonical_GTF_exon_records
PPIP5K1	NM_001394395	Not_found_in_canonical_GTF_exon_records
PRAMEF22	NM_001100631	Not_found_in_canonical_GTF_exon_records
PRAMEF26	NM_001306072	Not_found_in_canonical_GTF_exon_records
PRAMEF9	NM_001010890	Not_found_in_canonical_GTF_exon_records
PRB3	NM_001394862	Not_found_in_canonical_GTF_exon_records
PRDM2	NM_001393986	Not_found_in_canonical_GTF_exon_records
PRH1	NM_001393989	Not_found_in_canonical_GTF_exon_records
PRP4K	NM_003913	Not_found_in_canonical_GTF_exon_records
PRR23E	NM_001007534	Not_found_in_canonical_GTF_exon_records
PRR33	NM_001395380	Not_found_in_canonical_GTF_exon_records
PRRT1B	NM_001395643	Not_found_in_canonical_GTF_exon_records
PRSS2	NM_002770	Not_found_in_canonical_GTF_exon_records
PRSS41	NM_001395501	Not_found_in_canonical_GTF_exon_records
PTGR3	NM_175907	Not_found_in_canonical_GTF_exon_records
PTOV1	NM_001394010	Not_found_in_canonical_GTF_exon_records
PVRIG	NM_001397246	Not_found_in_canonical_GTF_exon_records
PVT1	NR_190187	Not_found_in_canonical_GTF_exon_records
PWWP4	NM_001395996	Not_found_in_canonical_GTF_exon_records
PYY	NM_001394028	Not_found_in_canonical_GTF_exon_records
QNG1	NM_032307	Not_found_in_canonical_GTF_exon_records
QRICH2	NM_001388453	Not_found_in_canonical_GTF_exon_records
R3HDM2	NM_001394031	Not_found_in_canonical_GTF_exon_records
RAB7B	NM_001164522	Not_found_in_canonical_GTF_exon_records
RAET1E	NM_001394057	Not_found_in_canonical_GTF_exon_records
RAMACL	NM_001395999	Not_found_in_canonical_GTF_exon_records
RAPGEF2	NM_001394067	Not_found_in_canonical_GTF_exon_records
RASSF8	NM_001394098	Not_found_in_canonical_GTF_exon_records
REDIC1	NM_001031748	Not_found_in_canonical_GTF_exon_records
RFPL2	NM_001394555	Not_found_in_canonical_GTF_exon_records
RGS12	NM_001394154	Not_found_in_canonical_GTF_exon_records
RGS3	NM_001394167	Not_found_in_canonical_GTF_exon_records
RIGI	NM_014314	Not_found_in_canonical_GTF_exon_records
RIMBP2	NM_001393629	Not_found_in_canonical_GTF_exon_records
RIMOC1	NM_175921	Not_found_in_canonical_GTF_exon_records
RLIG1	NM_001009894	Not_found_in_canonical_GTF_exon_records
RMST	NR_186063	Not_found_in_canonical_GTF_exon_records
RNASE11	NM_001394190	Not_found_in_canonical_GTF_exon_records
RNF228	NM_001395871	Not_found_in_canonical_GTF_exon_records
ROBO2	NM_001395656	Not_found_in_canonical_GTF_exon_records
RPSA2	NM_001355283	Not_found_in_canonical_GTF_exon_records
RTL4	NM_001395362	Not_found_in_canonical_GTF_exon_records
RTL5	NM_001405151	Not_found_in_canonical_GTF_exon_records
S100A5	NM_001394232	Not_found_in_canonical_GTF_exon_records
SAMMSON	NR_190186	Not_found_in_canonical_GTF_exon_records
SAMTOR	NM_152556	Not_found_in_canonical_GTF_exon_records
SANBR	NM_001129993	Not_found_in_canonical_GTF_exon_records
SAXO3	NM_001396011	Not_found_in_canonical_GTF_exon_records
SAXO4	NM_145017	Not_found_in_canonical_GTF_exon_records
SAXO5	NM_198534	Not_found_in_canonical_GTF_exon_records
SCAND3	NM_052923	Not_found_in_canonical_GTF_exon_records
SCART1	NM_001396050	Not_found_in_canonical_GTF_exon_records
SCGB1C2	NM_001097610	Not_found_in_canonical_GTF_exon_records
SCMH1	NM_001394311	Not_found_in_canonical_GTF_exon_records
SCPPPQ1	NM_001405228	Not_found_in_canonical_GTF_exon_records
SCYGR1	NM_001395402	Not_found_in_canonical_GTF_exon_records
SCYGR2	NM_001395403	Not_found_in_canonical_GTF_exon_records
SCYGR3	NM_001395404	Not_found_in_canonical_GTF_exon_records
SCYGR4	NM_001395405	Not_found_in_canonical_GTF_exon_records
SCYGR5	NM_001395406	Not_found_in_canonical_GTF_exon_records
SCYGR6	NM_001395407	Not_found_in_canonical_GTF_exon_records
SCYGR7	NM_001395408	Not_found_in_canonical_GTF_exon_records
SCYGR8	NM_001395409	Not_found_in_canonical_GTF_exon_records
SDR42E2	NM_001394319	Not_found_in_canonical_GTF_exon_records
SERPINA2	NM_006220	Not_found_in_canonical_GTF_exon_records
SH2D6	NM_001394463	Not_found_in_canonical_GTF_exon_records
SH3PXD2A	NM_001394015	Not_found_in_canonical_GTF_exon_records
SHF	NM_001394037	Not_found_in_canonical_GTF_exon_records
SKIC2	NM_006929	Not_found_in_canonical_GTF_exon_records
SKIC3	NM_014639	Not_found_in_canonical_GTF_exon_records
SKIC8	NM_025234	Not_found_in_canonical_GTF_exon_records
SLX9	NM_058190	Not_found_in_canonical_GTF_exon_records
SMCO2	NM_001395208	Not_found_in_canonical_GTF_exon_records
SMIM10L3	NM_001395995	Not_found_in_canonical_GTF_exon_records
SMIM11	NM_058182	Not_found_in_canonical_GTF_exon_records
SMIM34	NM_001367348	Not_found_in_canonical_GTF_exon_records
SMIM35	NM_001394165	Not_found_in_canonical_GTF_exon_records
SMIM36	NM_001395421	Not_found_in_canonical_GTF_exon_records
SMIM39	NM_001414894	Not_found_in_canonical_GTF_exon_records
SMIM42	NM_001395415	Not_found_in_canonical_GTF_exon_records
SMIM44	NM_001395954	Not_found_in_canonical_GTF_exon_records
SMIM45	NM_001395940	Not_found_in_canonical_GTF_exon_records
SMIM46	NM_001414411	Not_found_in_canonical_GTF_exon_records
SMIM47	NM_001384597	Not_found_in_canonical_GTF_exon_records
SMN-AS1	NR_185500	Not_found_in_canonical_GTF_exon_records
SNHG17	NR_185934	Not_found_in_canonical_GTF_exon_records
SNORC	NM_001394206	Not_found_in_canonical_GTF_exon_records
SNURF	NM_001394334	Not_found_in_canonical_GTF_exon_records
SORBS2	NM_001395207	Not_found_in_canonical_GTF_exon_records
SORL1-AS1	NR_183636	Not_found_in_canonical_GTF_exon_records
SPACA5	NM_001394298	Not_found_in_canonical_GTF_exon_records
SPACDR	NM_001004323	Not_found_in_canonical_GTF_exon_records
SPADH	NM_001364461	Not_found_in_canonical_GTF_exon_records
SPAG11A	NM_001395484	Not_found_in_canonical_GTF_exon_records
SPANXC	NM_022661	Not_found_in_canonical_GTF_exon_records
SPATA1	NM_001397487	Not_found_in_canonical_GTF_exon_records
SPATA31F1	NM_001141917	Not_found_in_canonical_GTF_exon_records
SPATA31F3	NM_001309427	Not_found_in_canonical_GTF_exon_records
SPATA31G1	NM_203299	Not_found_in_canonical_GTF_exon_records
SPATA31H1	NM_032266	Not_found_in_canonical_GTF_exon_records
SPDYE10	NM_001382505	Not_found_in_canonical_GTF_exon_records
SPDYE11	NM_001351349	Not_found_in_canonical_GTF_exon_records
SPDYE12	NM_001382555	Not_found_in_canonical_GTF_exon_records
SPDYE14	NM_001394940	Not_found_in_canonical_GTF_exon_records
SPDYE16	NM_001394943	Not_found_in_canonical_GTF_exon_records
SPDYE17	NM_001351351	Not_found_in_canonical_GTF_exon_records
SPDYE18	NM_001394953	Not_found_in_canonical_GTF_exon_records
SPDYE2	NM_001396242	Not_found_in_canonical_GTF_exon_records
SPDYE4	NM_001394956	Not_found_in_canonical_GTF_exon_records
SPMAP1	NM_001080465	Not_found_in_canonical_GTF_exon_records
SPMAP2	NM_016585	Not_found_in_canonical_GTF_exon_records
SPMAP2L	NM_001256475	Not_found_in_canonical_GTF_exon_records
SPMIP1	NM_001195150	Not_found_in_canonical_GTF_exon_records
SPMIP10	NM_207408	Not_found_in_canonical_GTF_exon_records
SPMIP11	NM_001351123	Not_found_in_canonical_GTF_exon_records
SPMIP2	NM_152543	Not_found_in_canonical_GTF_exon_records
SPMIP3	NM_001012970	Not_found_in_canonical_GTF_exon_records
SPMIP4	NM_138811	Not_found_in_canonical_GTF_exon_records
SPMIP5	NM_001350931	Not_found_in_canonical_GTF_exon_records
SPMIP6	NM_032596	Not_found_in_canonical_GTF_exon_records
SPMIP7	NM_001161834	Not_found_in_canonical_GTF_exon_records
SPMIP8	NM_199456	Not_found_in_canonical_GTF_exon_records
SPMIP9	NM_152670	Not_found_in_canonical_GTF_exon_records
SPRED3	NM_001394336	Not_found_in_canonical_GTF_exon_records
SPRN	NM_001391974	Not_found_in_canonical_GTF_exon_records
SPRR5	NM_001395435	Not_found_in_canonical_GTF_exon_records
SSU72L1	NM_001413998	Not_found_in_canonical_GTF_exon_records
SSU72L2	NM_001413999	Not_found_in_canonical_GTF_exon_records
SSU72L3	NM_001414000	Not_found_in_canonical_GTF_exon_records
SSU72L4	NM_001414001	Not_found_in_canonical_GTF_exon_records
SSU72L5	NM_001414002	Not_found_in_canonical_GTF_exon_records
SSU72L6	NM_001414004	Not_found_in_canonical_GTF_exon_records
STEEP1	NM_022101	Not_found_in_canonical_GTF_exon_records
STON2	NM_001394390	Not_found_in_canonical_GTF_exon_records
STRA8	NM_001394401	Not_found_in_canonical_GTF_exon_records
STXBP6	NM_001394410	Not_found_in_canonical_GTF_exon_records
SYT15B	NM_001370184	Not_found_in_canonical_GTF_exon_records
SYT8	NM_001394072	Not_found_in_canonical_GTF_exon_records
TAF11L10	NM_001401685	Not_found_in_canonical_GTF_exon_records
TAF11L11	NM_001423534	Not_found_in_canonical_GTF_exon_records
TAF11L12	NM_001423536	Not_found_in_canonical_GTF_exon_records
TAF11L13	NM_001401695	Not_found_in_canonical_GTF_exon_records
TAF11L14	NM_001401687	Not_found_in_canonical_GTF_exon_records
TAF11L2	NM_001401696	Not_found_in_canonical_GTF_exon_records
TAF11L3	NM_001401700	Not_found_in_canonical_GTF_exon_records
TAF11L4	NM_001401697	Not_found_in_canonical_GTF_exon_records
TAF11L5	NM_001401699	Not_found_in_canonical_GTF_exon_records
TAF11L6	NM_001401698	Not_found_in_canonical_GTF_exon_records
TAF11L7	NM_001401679	Not_found_in_canonical_GTF_exon_records
TAF11L8	NM_001401681	Not_found_in_canonical_GTF_exon_records
TAF11L9	NM_001401693	Not_found_in_canonical_GTF_exon_records
TAFAZZIN	NM_000116	Not_found_in_canonical_GTF_exon_records
TANC2	NM_001394998	Not_found_in_canonical_GTF_exon_records
TAS2R45	NM_176886	Not_found_in_canonical_GTF_exon_records
TBC1D1	NM_001396959	Not_found_in_canonical_GTF_exon_records
TBC1D26	NM_001388465	Not_found_in_canonical_GTF_exon_records
TBC1D3D	NM_001291465	Not_found_in_canonical_GTF_exon_records
TBC1D3E	NM_001291466	Not_found_in_canonical_GTF_exon_records
TBC1D3G	NM_001291462	Not_found_in_canonical_GTF_exon_records
TBC1D3I	NM_001291463	Not_found_in_canonical_GTF_exon_records
TBC1D3K	NM_001291464	Not_found_in_canonical_GTF_exon_records
TBKBP1	NM_001394755	Not_found_in_canonical_GTF_exon_records
TCP11X1	NM_001405026	Not_found_in_canonical_GTF_exon_records
TCP11X2	NM_001405027	Not_found_in_canonical_GTF_exon_records
TDRD1	NM_001395205	Not_found_in_canonical_GTF_exon_records
TEKTIP1	NM_001135580	Not_found_in_canonical_GTF_exon_records
TEKTL1	NM_173482	Not_found_in_canonical_GTF_exon_records
TENM2	NM_001395460	Not_found_in_canonical_GTF_exon_records
TEX28	NM_001586	Not_found_in_canonical_GTF_exon_records
TEX54	NM_001395459	Not_found_in_canonical_GTF_exon_records
TEX9	NM_001395496	Not_found_in_canonical_GTF_exon_records
TGFBR3L	NM_001419781	Not_found_in_canonical_GTF_exon_records
TIMM17B	NM_001395498	Not_found_in_canonical_GTF_exon_records
TINCR	NM_001396408	Not_found_in_canonical_GTF_exon_records
TMA7B	NM_001396013	Not_found_in_canonical_GTF_exon_records
TMEM191C	NM_001388354	Not_found_in_canonical_GTF_exon_records
TMEM200C	NM_001395400	Not_found_in_canonical_GTF_exon_records
TMEM217B	NM_001395378	Not_found_in_canonical_GTF_exon_records
TMEM235	NM_001395503	Not_found_in_canonical_GTF_exon_records
TMEM238L	NM_001388428	Not_found_in_canonical_GTF_exon_records
TMEM247	NM_001424184	Not_found_in_canonical_GTF_exon_records
TMEM253	NM_001395467	Not_found_in_canonical_GTF_exon_records
TMEM275	NM_001396071	Not_found_in_canonical_GTF_exon_records
TMEM276	NM_032687	Not_found_in_canonical_GTF_exon_records
TMPRSS7	NM_001395507	Not_found_in_canonical_GTF_exon_records
TMPRSS9	NM_001395513	Not_found_in_canonical_GTF_exon_records
TMSB15C	NM_001395930	Not_found_in_canonical_GTF_exon_records
TMT1A	NM_014033	Not_found_in_canonical_GTF_exon_records
TMT1B	NM_152637	Not_found_in_canonical_GTF_exon_records
TOMT	NM_001393500	Not_found_in_canonical_GTF_exon_records
TOP6BL	NM_001302084	Not_found_in_canonical_GTF_exon_records
TP53TG3E	NM_001330061	Not_found_in_canonical_GTF_exon_records
TP53TG3F	NM_001330066	Not_found_in_canonical_GTF_exon_records
TPRX1	NM_001397346	Not_found_in_canonical_GTF_exon_records
TPRX2	NM_001397347	Not_found_in_canonical_GTF_exon_records
TPTE2	NM_001395978	Not_found_in_canonical_GTF_exon_records
TRERF1	NM_001395490	Not_found_in_canonical_GTF_exon_records
TRIM51G	NM_001396075	Not_found_in_canonical_GTF_exon_records
TRIM61	NM_001414904	Not_found_in_canonical_GTF_exon_records
TRIM75	NM_001396070	Not_found_in_canonical_GTF_exon_records
TSPY9	NM_001396063	Not_found_in_canonical_GTF_exon_records
TTLL13	NM_001396017	Not_found_in_canonical_GTF_exon_records
TUG1	NM_001396518	Not_found_in_canonical_GTF_exon_records
TUNAR	NM_001416131	Not_found_in_canonical_GTF_exon_records
TXNDC8	NM_001424031	Not_found_in_canonical_GTF_exon_records
UBE2NL	NM_001012989	Not_found_in_canonical_GTF_exon_records
UBXN11	NM_001389556	Not_found_in_canonical_GTF_exon_records
UFSP1	NM_001430944	Not_found_in_canonical_GTF_exon_records
UNC79	NM_001395159	Not_found_in_canonical_GTF_exon_records
UQCC4	NM_001272051	Not_found_in_canonical_GTF_exon_records
UQCC5	NM_001124767	Not_found_in_canonical_GTF_exon_records
UQCC6	NM_001135570	Not_found_in_canonical_GTF_exon_records
USP54	NM_001391956	Not_found_in_canonical_GTF_exon_records
VCF1	NM_001098832	Not_found_in_canonical_GTF_exon_records
VCF2	NM_001166701	Not_found_in_canonical_GTF_exon_records
VCX	NM_001393662	Not_found_in_canonical_GTF_exon_records
VDAC2	NM_001391963	Not_found_in_canonical_GTF_exon_records
VN1R5	NM_173858	Not_found_in_canonical_GTF_exon_records
VWA5B2	NM_001390846	Not_found_in_canonical_GTF_exon_records
WDFY4	NM_001394531	Not_found_in_canonical_GTF_exon_records
XNDC1N	NM_001375847	Not_found_in_canonical_GTF_exon_records
YJU2B	NM_030818	Not_found_in_canonical_GTF_exon_records
ZBED6	NM_001395895	Not_found_in_canonical_GTF_exon_records
ZC3H11C	NM_001271675	Not_found_in_canonical_GTF_exon_records
ZFTA	NM_001144936	Not_found_in_canonical_GTF_exon_records
ZFTRAF1	NM_001330618	Not_found_in_canonical_GTF_exon_records
ZGLP1	NM_001409033	Not_found_in_canonical_GTF_exon_records
ZMAT1	NM_001394560	Not_found_in_canonical_GTF_exon_records
ZNF185	NM_001395254	Not_found_in_canonical_GTF_exon_records
ZNF385C	NM_001392013	Not_found_in_canonical_GTF_exon_records
ZNF475	NM_001195535	Not_found_in_canonical_GTF_exon_records
ZNF550	NM_001397372	Not_found_in_canonical_GTF_exon_records
ZNF593OS	NM_001395468	Not_found_in_canonical_GTF_exon_records
ZNF722	NM_001396012	Not_found_in_canonical_GTF_exon_records
ZNF746	NM_001394198	Not_found_in_canonical_GTF_exon_records
ZNF888	NM_001393938	Not_found_in_canonical_GTF_exon_records
ZNF892	NM_001395961	Not_found_in_canonical_GTF_exon_records
ZNG1A	NM_018491	Not_found_in_canonical_GTF_exon_records
ZNG1B	NM_172003	Not_found_in_canonical_GTF_exon_records
ZNG1C	NM_201453	Not_found_in_canonical_GTF_exon_records
ZNG1E	NM_001330668	Not_found_in_canonical_GTF_exon_records
ZNG1F	NM_001085457	Not_found_in_canonical_GTF_exon_records
