Gene	RefSeq_transcript	Reason
CIMIP1	NM_178456	Not_found_in_canonical_GTF_exon_records
CIMIP2A	NM_001001710	Not_found_in_canonical_GTF_exon_records
CIMIP2B	NM_001164310	Not_found_in_canonical_GTF_exon_records
CIMIP2C	NM_001105519	Not_found_in_canonical_GTF_exon_records
CIMIP3	NM_001384994	Not_found_in_canonical_GTF_exon_records
CIMIP4	NM_001163857	Not_found_in_canonical_GTF_exon_records
CIMIP5	NM_001371321	Not_found_in_canonical_GTF_exon_records
CIMIP6	NM_001100396	Not_found_in_canonical_GTF_exon_records
CIMIP7	NM_001080528	Not_found_in_canonical_GTF_exon_records
CIROP	NM_001354640	Not_found_in_canonical_GTF_exon_records
CIST1	NM_001396036	Not_found_in_canonical_GTF_exon_records
CISTR	NR_186108	Not_found_in_canonical_GTF_exon_records
CLASP1	NM_001395891	Not_found_in_canonical_GTF_exon_records
CLEC20A	NM_001395331	Not_found_in_canonical_GTF_exon_records
CLUL1	NM_001393344	Not_found_in_canonical_GTF_exon_records
CLXN	NM_024593	Not_found_in_canonical_GTF_exon_records
CMKLR2	NM_001389445	Not_found_in_canonical_GTF_exon_records
CNPY1	NM_001393663	Not_found_in_canonical_GTF_exon_records
CPHXL2	NM_001395862	Not_found_in_canonical_GTF_exon_records
CRACD	NM_001393381	Not_found_in_canonical_GTF_exon_records
CRIPTO	NM_003212	Not_found_in_canonical_GTF_exon_records
CRIPTO3	NM_001397362	Not_found_in_canonical_GTF_exon_records
CSAG2	NM_001395334	Not_found_in_canonical_GTF_exon_records
CSAG3	NM_001129826	Not_found_in_canonical_GTF_exon_records
CSN3	NM_001394997	Not_found_in_canonical_GTF_exon_records
CSNK2A2IP	NM_001368165	Not_found_in_canonical_GTF_exon_records
CSTPP1	NM_024113	Not_found_in_canonical_GTF_exon_records
CT45A2	NM_152582	Not_found_in_canonical_GTF_exon_records
CT45A6	NM_001017438	Not_found_in_canonical_GTF_exon_records
CT45A7	NM_001394668	Not_found_in_canonical_GTF_exon_records
